Shard,rmse,mae,r2,wape,hit_rate,balanced_accuracy,macro_f1,correlation,ic,shard,fold,train_rows,test_rows,params_json
Shard 1,0.0625899028664292,0.0428277074642774,-0.5144517939498165,73.56956668981405,0.7166666666666667,0.4387755102040816,0.4174757281553398,0.1315907638059288,0.3508752431230898,0,25,1805,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.0720780230506738,0.0549079827279508,-5.304978035569745,199.3871855982795,0.6333333333333333,0.6875,0.6316964285714286,0.1515099102864006,0.1408168935815504,0,26,1865,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.085733057936128,0.0706983402218758,-0.2830750400209294,51.53714651390129,0.9,0.9444444444444444,0.803921568627451,0.683240820688816,0.6318977493748263,0,27,1925,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.0435181380902732,0.0358229746309327,0.5519496606080947,69.57660243067338,0.5833333333333334,0.5285714285714286,0.4957983193277311,0.869443063107239,0.6917161982035626,0,28,1985,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 2,0.091922497651641,0.0688291404104031,-0.2197855679352212,103.40628620793989,0.65,0.7215909090909092,0.6378269617706237,0.2524082103121045,0.1110678872196494,1,1,365,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.083348650006718,0.0715183287421169,-3.8252946616018537,159.835311497451,0.5,0.5973813420621932,0.4857142857142857,0.2021017089361242,0.14231731036399,1,2,425,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.1185264065599311,0.1065739838626952,-10.926736119567916,88.59731742113769,0.5833333333333334,,0.3684210526315789,-0.1797958504474868,-0.1135378461239791,1,3,485,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.1064683901441217,0.0879926855350473,-0.120541011028264,88.87100270110555,0.75,0.7323491655969192,0.7221364618709478,0.3396633907398513,0.1499305362600722,1,4,545,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.1167138376213155,0.0927084703697436,0.1701314193781619,73.18036874108752,0.9833333333333332,0.9772727272727272,0.9818785865297492,0.7594866055655972,0.5278132814670743,1,5,605,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.2987872446907769,0.2609395314370043,-1.862858699890765,71.23663070707049,0.9666666666666668,0.6666666666666666,0.7413793103448276,0.5367885474742896,0.3822728535704363,1,6,665,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
