feature,feature_group,source,source_column,included,reason,non_null_count,coverage_rate,nunique,all_missing,constant,all_in_set,model_use,feature_label_ko,asof_rule
pwr_pumped_storage_gwh,power_energy,current_pm_final,pwr_pumped_storage_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_renewable_total_gwh,power_energy,current_pm_final,pwr_renewable_total_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_solar_gwh,power_energy,current_pm_final,pwr_solar_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
wx_nat_is_precip_day,weather,current_pm_final,wx_nat_is_precip_day,True,existing_pm_final_predictor,2132,1.0,7,False,False,all_in_finbert_60d,,,
wx_nat_precip_mm,weather,current_pm_final,wx_nat_precip_mm,True,existing_pm_final_predictor,2132,1.0,594,False,False,all_in_finbert_60d,,,
wx_nat_sunshine_hours,weather,current_pm_final,wx_nat_sunshine_hours,True,existing_pm_final_predictor,2132,1.0,839,False,False,all_in_finbert_60d,,,
wx_stn_is_precip_day,weather,current_pm_final,wx_stn_is_precip_day,True,existing_pm_final_predictor,2132,1.0,7,False,False,all_in_finbert_60d,,,
wx_stn_precip_mm,weather,current_pm_final,wx_stn_precip_mm,True,existing_pm_final_predictor,2132,1.0,596,False,False,all_in_finbert_60d,,,
wx_stn_sunshine_hours,weather,current_pm_final,wx_stn_sunshine_hours,True,existing_pm_final_predictor,2132,1.0,845,False,False,all_in_finbert_60d,,,
ext_us10y_z60,external_market,current_pm_final,ext_us10y_z60,True,existing_pm_final_predictor,2128,0.99812382739212,2066,False,False,all_in_finbert_60d,,,
ext_us10y_chg20,external_market,current_pm_final,ext_us10y_chg20,True,existing_pm_final_predictor,2128,0.99812382739212,1630,False,False,all_in_finbert_60d,,,
ext_kr10y_chg20,external_market,current_pm_final,ext_kr10y_chg20,True,existing_pm_final_predictor,2128,0.99812382739212,1166,False,False,all_in_finbert_60d,,,
ext_kr10y_z60,external_market,current_pm_final,ext_kr10y_z60,True,existing_pm_final_predictor,2128,0.99812382739212,2128,False,False,all_in_finbert_60d,,,
ext_sp500_z60,external_market,current_pm_final,ext_sp500_z60,True,existing_pm_final_predictor,2128,0.99812382739212,2066,False,False,all_in_finbert_60d,,,
