order,feature_name,label_ko,feature_group,source_kind,source_table_or_file,source_column,transform_or_definition,as_of_rule,disclosure_lag,coverage,non_null_count,unique_value_count,expected_sign,description,domain_rationale,statistical_evidence,literature_anchor
53,mkt_vol_std60,,market_microstructure,current_pm_final,current_pm_final,mkt_vol_std60,existing_pm_final_predictor,,,"non_null=2112, coverage_rate=0.9906191369606004",2112,2109,,Base all_in feature carried forward.,,,
54,fuel_bitum_coal_krwkwh,,power_energy,current_pm_final,current_pm_final,fuel_bitum_coal_krwkwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,123,,Base all_in feature carried forward.,,,
55,fuel_oil_krwkwh,,power_energy,current_pm_final,current_pm_final,fuel_oil_krwkwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,123,,Base all_in feature carried forward.,,,
56,fuel_bitum_coal_krwton,,power_energy,current_pm_final,current_pm_final,fuel_bitum_coal_krwton,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
57,fuel_oil_krw_per_kl,,power_energy,current_pm_final,current_pm_final,fuel_oil_krw_per_kl,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
58,fuel_heat_bitum_coal_krwgcal,,power_energy,current_pm_final,current_pm_final,fuel_heat_bitum_coal_krwgcal,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
59,fuel_heat_oil_krwgcal,,power_energy,current_pm_final,current_pm_final,fuel_heat_oil_krwgcal,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
60,pwr_day,,power_energy,current_pm_final,current_pm_final,pwr_day,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,31,,Base all_in feature carried forward.,,,
61,pwr_resv_cap_mw,,power_energy,current_pm_final,current_pm_final,pwr_resv_cap_mw,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1971,,Base all_in feature carried forward.,,,
62,pwr_resv_mgn_pct,,power_energy,current_pm_final,current_pm_final,pwr_resv_mgn_pct,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,468,,Base all_in feature carried forward.,,,
63,pwr_sup_cap_mw,,power_energy,current_pm_final,current_pm_final,pwr_sup_cap_mw,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1993,,Base all_in feature carried forward.,,,
64,pwr_anth_gwh,,power_energy,current_pm_final,current_pm_final,pwr_anth_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,121,,Base all_in feature carried forward.,,,
65,pwr_bio_gwh,,power_energy,current_pm_final,current_pm_final,pwr_bio_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
66,pwr_bitum_coal_gwh,,power_energy,current_pm_final,current_pm_final,pwr_bitum_coal_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
67,pwr_coal_total_gwh,,power_energy,current_pm_final,current_pm_final,pwr_coal_total_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
68,pwr_lng_gwh,,power_energy,current_pm_final,current_pm_final,pwr_lng_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
69,pwr_market_ppa_total_gwh,,power_energy,current_pm_final,current_pm_final,pwr_market_ppa_total_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
70,pwr_ocean_gwh,,power_energy,current_pm_final,current_pm_final,pwr_ocean_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,116,,Base all_in feature carried forward.,,,
71,pwr_oil_gwh,,power_energy,current_pm_final,current_pm_final,pwr_oil_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
72,pwr_other_gwh,,power_energy,current_pm_final,current_pm_final,pwr_other_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
73,pwr_pumped_storage_gwh,,power_energy,current_pm_final,current_pm_final,pwr_pumped_storage_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
74,pwr_renewable_total_gwh,,power_energy,current_pm_final,current_pm_final,pwr_renewable_total_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
75,pwr_solar_gwh,,power_energy,current_pm_final,current_pm_final,pwr_solar_gwh,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
76,wx_nat_is_precip_day,,weather,current_pm_final,current_pm_final,wx_nat_is_precip_day,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,7,,Base all_in feature carried forward.,,,
77,wx_nat_precip_mm,,weather,current_pm_final,current_pm_final,wx_nat_precip_mm,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,594,,Base all_in feature carried forward.,,,
78,wx_nat_sunshine_hours,,weather,current_pm_final,current_pm_final,wx_nat_sunshine_hours,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,839,,Base all_in feature carried forward.,,,
79,wx_stn_is_precip_day,,weather,current_pm_final,current_pm_final,wx_stn_is_precip_day,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,7,,Base all_in feature carried forward.,,,
80,wx_stn_precip_mm,,weather,current_pm_final,current_pm_final,wx_stn_precip_mm,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,596,,Base all_in feature carried forward.,,,
81,wx_stn_sunshine_hours,,weather,current_pm_final,current_pm_final,wx_stn_sunshine_hours,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,845,,Base all_in feature carried forward.,,,
82,ext_us10y_z60,,external_market,current_pm_final,current_pm_final,ext_us10y_z60,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,2066,,Base all_in feature carried forward.,,,
83,ext_us10y_chg20,,external_market,current_pm_final,current_pm_final,ext_us10y_chg20,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,1630,,Base all_in feature carried forward.,,,
84,ext_kr10y_chg20,,external_market,current_pm_final,current_pm_final,ext_kr10y_chg20,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,1166,,Base all_in feature carried forward.,,,
85,ext_kr10y_z60,,external_market,current_pm_final,current_pm_final,ext_kr10y_z60,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,2128,,Base all_in feature carried forward.,,,
86,ext_sp500_z60,,external_market,current_pm_final,current_pm_final,ext_sp500_z60,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,2066,,Base all_in feature carried forward.,,,
